"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","ED1","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","OC1","OD1","OD2","REM","EQD"
"01089099999","2025-08-03T17:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","070,1,N,0041,1","00061,1,C,N","009999,1,9,9","+0120,1","+0110,1","99999,9",,,,"07,1,+00061,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00061,1,99,9,99,9",,,"10170,1,99999,9",,,,,,,"MET074METAR ENKR 031720Z 07008KT 9999 BKN002 12/11 Q1017 RMK WIND 731FT 07015KT=",
"01089099999","2025-08-03T17:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","070,1,V,0041,1","00061,1,C,N","009000,1,9,9","+0120,1","+0110,1","99999,9",,,,"07,1,+00061,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00061,1,99,9,99,9",,,"10170,1,99999,9",,,,,,,"MET088METAR ENKR 031750Z 07008KT 040V100 9000 4000E BKN002 12/11 Q1017 RMK WIND 731FT 07017KT=",
"01089099999","2025-08-03T18:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","050,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0121,1","+0115,1","10176,1",,,,,,,,,"120,M,+0177,1","120,N,+0119,1","99999,9,10072,1","5,1,004,1,+999,9",,,,"3,99,0060,1,999",,"SYN07601089 46/// /0504 10121 20115 30072 40176 55004 333 10177 20119 90710 91106=",
"01089099999","2025-08-03T18:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","070,1,N,0046,1","00091,1,9,N","004300,1,9,9","+0120,1","+0110,1","99999,9",,,,"04,1,+00061,1,99,9","07,1,+00091,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00061,1,99,9,99,9",,,"10170,1,99999,9",,"10,1",,,,,"MET084METAR ENKR 031820Z 07009KT 4300 BR SCT002 BKN003 12/11 Q1017 RMK WIND 731FT 07015KT=",
"01089099999","2025-08-03T18:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","050,1,V,0036,1","00061,1,C,N","009999,1,9,9","+0120,1","+0120,1","99999,9",,,,"07,1,+00061,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00061,1,99,9,99,9",,,"10170,1,99999,9",,,,,,,"MET088METAR ENKR 031850Z 05007KT 030V090 9999 4000E BKN002 12/12 Q1017 RMK WIND 731FT 07016KT=",
"01089099999","2025-08-03T19:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","030,1,N,0030,1","99999,9,9,N","999999,9,9,9","+0120,1","+0115,1","10172,1",,,,,,,,,"240,M,+0121,1","240,N,+0117,1","99999,9,10069,1","6,1,006,1,+999,9",,,,"3,99,0060,1,999",,"SYN07601089 46/// /0303 10120 20115 30069 40172 56006 333 10121 20117 90710 91106=",
"01089099999","2025-08-03T19:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","050,1,V,0026,1","00061,1,9,N","004000,1,9,9","+0120,1","+0120,1","99999,9",,,,"02,1,+00030,1,99,9","07,1,+00061,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00030,1,99,9,99,9",,,"10170,1,99999,9",,"10,1","11,1",,,,"MET103METAR ENKR 031920Z 05005KT 020V090 4000 1200W BR BCFG FEW001 BKN002 12/12 Q1017 RMK WIND 731FT 06013KT=",
"01089099999","2025-08-03T19:50:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","050,1,N,0031,1","00061,1,9,N","009999,1,9,9","+0120,1","+0120,1","99999,9",,,,"02,1,+00030,1,99,9","07,1,+00061,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00030,1,99,9,99,9",,,"10170,1,99999,9",,"11,1",,,,,"MET092METAR ENKR 031950Z 05006KT 9999 1600W BCFG FEW001 BKN002 12/12 Q1017 RMK WIND 731FT 08011KT=",
"01089099999","2025-08-03T20:00:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-12","99999","V020","010,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0123,1","+0117,1","10174,1",,,,,,,,,"240,M,+0123,1","240,N,+0120,1","99999,9,10071,1","5,1,000,1,+999,9",,,,"3,99,0060,1,999",,"SYN07601089 46/// /0104 10123 20117 30071 40174 55000 333 10123 20120 90710 91106=",
"01089099999","2025-08-03T20:20:00","4","69.725611","29.893011","86.25","HOYBUKTMOEN KIRKENES, NO","FM-15","99999","V020","070,1,N,0041,1","00061,1,C,N","009999,1,9,9","+0120,1","+0120,1","99999,9",,,,"07,1,+00061,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00061,1,99,9,99,9",,,"10170,1,99999,9",,,,,,,"MET074METAR ENKR 032020Z 07008KT 9999 BKN002 12/12 Q1017 RMK WIND 731FT 06011KT=",
